Timestamp,Presence time (Seconds),Scrolling (Pixels),Timestamp
2024-03-27 10:59:48,1.9073486328125e-06,0.0,2024-03-27 10:59:48
2024-03-27 10:59:50,2.008920669555664,0.0,2024-03-27 10:59:50
2024-03-27 10:59:52,4.020336866378784,0.0,2024-03-27 10:59:52
2024-03-27 10:59:54,6.041045904159546,0.0,2024-03-27 10:59:54
2024-03-27 10:59:56,8.061147928237915,0.0,2024-03-27 10:59:56
2024-03-27 10:59:58,10.079084634780884,0.0,2024-03-27 10:59:58
2024-03-27 11:00:00,12.088376760482788,0.0,2024-03-27 11:00:00
2024-03-27 11:00:02,14.109262704849243,0.0,2024-03-27 11:00:02
2024-03-27 11:00:04,16.12736487388611,0.0,2024-03-27 11:00:04
2024-03-27 11:00:06,18.14737105369568,0.0,2024-03-27 11:00:06
